Location,Latitude,Longitude,Address
Mount Gambier,-37.8301386,140.7842627,"{'city': 'Mount Gambier', 'municipality': 'City of Mount Gambier', 'state': 'South Australia', 'ISO3166-2-lvl4': 'AU-SA', 'postcode': '5290', 'country': 'Australia', 'country_code': 'au'}"
Mount Gambier,-37.8246698,140.7819596,"{'municipality': 'City of Mount Gambier', 'state': 'South Australia', 'ISO3166-2-lvl4': 'AU-SA', 'postcode': '5290', 'country': 'Australia', 'country_code': 'au'}"
Mount Gambier,-37.8403802,140.7557615,"{'peak': 'Mount Gambier', 'city': 'Mount Gambier', 'municipality': 'City of Mount Gambier', 'state': 'South Australia', 'ISO3166-2-lvl4': 'AU-SA', 'postcode': '5290', 'country': 'Australia', 'country_code': 'au'}"
Albany,-35.0247822,117.883608,"{'city': 'Albany', 'municipality': 'City of Albany', 'state': 'Western Australia', 'ISO3166-2-lvl4': 'AU-WA', 'postcode': '6330', 'country': 'Australia', 'country_code': 'au'}"
Albany,-34.7634122,118.2434056,"{'municipality': 'City of Albany', 'state': 'Western Australia', 'ISO3166-2-lvl4': 'AU-WA', 'country': 'Australia', 'country_code': 'au'}"
Witchcliffe,-34.0263348,115.1004768,"{'town': 'Witchcliffe', 'municipality': 'Shire of Augusta Margaret River', 'state': 'Western Australia', 'ISO3166-2-lvl4': 'AU-WA', 'postcode': '6286', 'country': 'Australia', 'country_code': 'au'}"
Witchcliffe,-34.0252374,115.1001019,"{'residential': 'Witchcliffe', 'town': 'Witchcliffe', 'municipality': 'Shire of Augusta Margaret River', 'state': 'Western Australia', 'ISO3166-2-lvl4': 'AU-WA', 'country': 'Australia', 'country_code': 'au'}"
Perth Airport,-31.9415213,115.9655769,"{'aeroway': 'Perth Airport', 'road': 'Fauntleroy Avenue', 'suburb': 'Ascot', 'county': 'City of Belmont', 'state': 'Western Australia', 'ISO3166-2-lvl4': 'AU-WA', 'postcode': '6104', 'country': 'Australia', 'country_code': 'au'}"
Perth Airport,-31.933563,115.9600653,"{'suburb': 'Perth Airport', 'county': 'City of Belmont', 'state': 'Western Australia', 'ISO3166-2-lvl4': 'AU-WA', 'postcode': '6105', 'country': 'Australia', 'country_code': 'au'}"
Perth,-31.9558967,115.8605784,"{'city': 'Perth', 'county': 'City of Perth', 'state': 'Western Australia', 'ISO3166-2-lvl4': 'AU-WA', 'postcode': '6000', 'country': 'Australia', 'country_code': 'au'}"
Perth,-31.9548005,115.8583736,"{'city_district': 'Perth', 'city': 'Perth', 'county': 'City of Perth', 'state': 'Western Australia', 'ISO3166-2-lvl4': 'AU-WA', 'postcode': '6000', 'country': 'Australia', 'country_code': 'au'}"
Perth,-41.5730227,147.1719755,"{'town': 'Perth', 'municipality': 'Northern Midlands', 'state': 'Tasmania', 'ISO3166-2-lvl4': 'AU-TAS', 'postcode': '7300', 'country': 'Australia', 'country_code': 'au'}"
Walpole,-34.9776796,116.7310063,"{'town': 'Walpole', 'municipality': 'Shire of Manjimup', 'state': 'Western Australia', 'ISO3166-2-lvl4': 'AU-WA', 'postcode': '6398', 'country': 'Australia', 'country_code': 'au'}"
Walpole,-43.2922659,147.0120916,"{'neighbourhood': 'Walpole', 'town': 'Dover', 'municipality': 'Huon Valley', 'state': 'Tasmania', 'ISO3166-2-lvl4': 'AU-TAS', 'postcode': '7117', 'country': 'Australia', 'country_code': 'au'}"
Hobart,-42.8825088,147.3281233,"{'city': 'Hobart', 'municipality': 'City of Hobart', 'state': 'Tasmania', 'ISO3166-2-lvl4': 'AU-TAS', 'country': 'Australia', 'country_code': 'au'}"
Hobart,-42.893851,147.2720858,"{'municipality': 'City of Hobart', 'state': 'Tasmania', 'ISO3166-2-lvl4': 'AU-TAS', 'country': 'Australia', 'country_code': 'au'}"
Launceston,-41.4340813,147.1373496,"{'city': 'Launceston', 'municipality': 'City of Launceston', 'state': 'Tasmania', 'ISO3166-2-lvl4': 'AU-TAS', 'country': 'Australia', 'country_code': 'au'}"
Launceston,-41.320994,147.2731288,"{'municipality': 'City of Launceston', 'state': 'Tasmania', 'ISO3166-2-lvl4': 'AU-TAS', 'country': 'Australia', 'country_code': 'au'}"
Uluru,-25.344857,131.0325171,"{'peak': 'Uluṟu', 'municipality': 'Macdonnell Region', 'territory': 'Northern Territory', 'ISO3166-2-lvl4': 'AU-NT', 'country': 'Australia', 'country_code': 'au'}"
Uluru,-25.3455545,131.0369615,"{'bare_rock': 'Uluṟu', 'city_district': 'Petermann', 'municipality': 'Macdonnell Region', 'territory': 'Northern Territory', 'ISO3166-2-lvl4': 'AU-NT', 'postcode': '0872', 'country': 'Australia', 'country_code': 'au'}"
